NHLEMFFM115A,NHLEMFFM115A,C4:34:6B:6E:B7:93,,,,,,
NHLEMFIT223A,NHLEMFIT223A,C4:34:6B:6E:BB:58,,,,,,
NHLEMFPHR302C,NHLEMFPHR302C,64:51:06:55:04:85,,,,,,
NHLEMFVTC324A,NHLEMFVTC324A,D8:9E:F3:4B:F1:83,,,,,,
NHLEMFDDS222B,NHLEMFDDS222B,D8:9E:F3:4B:F2:F5,,,,,,
NHLEMFFM117,NHLEMFFM117,D8:9E:F3:4B:F1:1E,,,,,,
NHLEMFPHR221,NHLEMFPHR221,D8:9E:F3:4B:EF:EC,,,,,,
NHLEMFHBO130B,NHLEMFHBO130B,D8:9E:F3:4B:EF:62,,,,,,
NHLEMFFM114D,NHLEMFFM114D,3C:52:82:00:7C:6A,,,,,,
NHLEMFIT424A,NHLEMFIT424A,D8:9E:F3:4B:F1:82,,,,,,
NHLEMFFLT405II,NHLEMFFLT405II,C8:D3:FF:A8:8A:85,,,,,,
NHLEMFMH413,NHLEMFMH413,D8:9E:F3:4B:F2:F6,,,,,,
NHLEMFOCC105,NHLEMFOCC105,D8:9E:F3:4B:F1:91,,,,,,
NHLEMFFLT405GG,NHLEMFFLT405GG,3C:52:82:00:7D:04,,,,,,
NHLEMFMM299AB,NHLEMFMM299AB,64:51:06:55:04:7D,,,,,,
NHLEMFFLT405E,NHLEMFFLT405E,64:51:06:4B:43:A9,,,,,,
NHLEMFOCC108B,NHLEMFOCC108B,64:51:06:3D:34:F4,,,,,,
NHLEMFTRNG324E,NHLEMFTRNG324E,64:51:06:3D:3C:FB,,,,,,
NHLEMFTRNG324C,NHLEMFTRNG324C,64:51:06:3D:35:2A,,,,,,
NHLEMFTRNG324D,NHLEMFTRNG324D,64:51:06:4A:58:A0,,,,,,
NHLEMFTRNG324F,NHLEMFTRNG324F,C4:34:6B:6E:B7:94,,,,,,
NHLEMFTRNG324A,NHLEMFTRNG324A,64:51:06:3D:34:D0,,,,,,
NHLEMFADM111,NHLEMFADM111,54:BF:64:5B:D9:E8,,,,,,
NHLEMFHBO411,NHLEMFHBO411,D8:9E:F3:4B:F3:43,,,,,,
NHLEMFFM106A,NHLEMFFM106A,D8:9E:F3:4B:F1:C5,,,,,,
NHLEMFTRNG324B,NHLEMFTRNG324B,C4:34:6B:6E:BB:62,,,,,,
NHLEMFFM420,NHLEMFFM420,40:B0:34:FF:7E:BC,,,,,,
NHLEMFVTC110,NHLEMFVTC110,40:B0:34:FF:8B:11,,,,,,
NHLEMFFLT405K,NHLEMFFLT405K,64:51:06:4A:58:7C,,,,,,
NHLEMFDDS218,NHLEMFDDS218,64:51:06:55:02:CB,,,,,,
NHLEMFDDS219,NHLEMFDDS219,64:51:06:45:13:56,,,,,,
NHLEMFDDS222A,NHLEMFDDS222A,64:51:06:55:02:C4,,,,,,
NHLEMFDDS209B,NHLEMFDDS209B,C4:34:6B:6E:BA:EE,,,,,,
NHLEMFHBO411A,NHLEMFHBO411A,D8:9E:F3:4B:66:F6,,,,,,
NHLEMFFLT405CC,NHLEMFFLT405CC,30:E1:71:7F:3E:4C,,,,,,
NHLEMFPHR223BB,NHLEMFPHR223BB,3C:52:82:00:63:3F,,,,,,
NHLEMFFLT417,NHLEMFFLT417,30:E1:71:80:10:C1,,,,,,
NHLEMFDDS214,NHLEMFDDS214,64:51:06:3D:34:EF,,,,,,
NHLEMFPHR302B,NHLEMFPHR302B,64:51:06:39:F8:54,,,,,,
NHLEMFDDS208,NHLEMFDDS208,C4:34:6B:6E:BB:5F,,,,,,
NHLEMFFM114CC,NHLEMFFM114CC,40:B0:34:FF:7D:A4,,,,,,
NHLEMFCAG432A,NHLEMFCAG432A,64:51:06:55:02:B9,,,,,,
NHLEMFPHR302A,NHLEMFPHR302A,64:51:06:55:02:CC,,,,,,
NHLEMFCAG432C,NHLEMFCAG432C,64:51:06:3D:3F:6C,,,,,,
NHLEMFCAG432D,NHLEMFCAG432D,64:51:06:55:02:BA,,,,,,
NHLEMFADM113,NHLEMFADM113,D8:9E:F3:4B:EF:4A,,,,,,
NHLEMFMM299AA,NHLEMFMM299AA,D8:9E:F3:4B:EF:95,,,,,,
NHLEMFOCC108A,NHLEMFOCC108A,D8:9E:F3:4B:5B:BD,,,,,,
NHLEMFPAD107BB,NHLEMFPAD107BB,40:B0:34:F6:9C:01,,,,,,
NHLEMFFM115C,NHLEMFFM115C,64:51:06:3D:35:0D,,,,,,
NHLEMFFLT405F,NHLEMFFLT405F,64:51:06:3D:34:4F,,,,,,
NHLEMFEDU324AA,NHLEMFEDU324AA,64:51:06:3D:3D:23,,,,,,
NHLEMFLAB128D,NHLEMFLAB128D,64:51:06:3D:34:E7,,,,,,
NHLEMFIMM435BB,NHLEMFIMM435BB,3C:52:82:00:7C:25,,,,,,
NHLEMFFLT405DD,NHLEMFFLT405DD,30:E1:71:7F:3B:16,,,,,,
NHLEMFPHR302D,NHLEMFPHR302D,64:51:06:45:13:28,,,,,,
NHLEMFFM114B,NHLEMFFM114B,40:B0:34:FF:7D:46,,,,,,
NHLEMFPHR302E,NHLEMFPHR302E,64:51:06:55:02:E0,,,,,,
NHLEMFFM119,NHLEMFFM119,54:BF:64:5B:D6:C8,,,,,,
NHLEMFFM106D,NHLEMFFM106D,C4:34:6B:6E:B7:97,,,,,,
NHLEMFFM106C,NHLEMFFM106C,64:51:06:55:02:B2,,,,,,
NHLEMFADM129,NHLEMFADM129,D8:9E:F3:4B:F3:1B,,,,,,
NHLEMFPAD107A,NHLEMFPAD107A,D8:9E:F3:4B:EF:0F,,,,,,
NHLEMFDDS217,NHLEMFDDS217,64:51:06:3D:35:10,,,,,,
NHLEMFCAG432B,NHLEMFCAG432B,64:51:06:55:04:83,,,,,,
NHLEMFCAG432E,NHLEMFCAG432E,64:51:06:55:02:D7,,,,,,
NHLEMFADM112,NHLEMFADM112,30:E1:71:7F:CF:BF,,,,,,
NHLEMFDDS306A,NHLEMFDDS306A,D8:9E:F3:4B:EF:89,,,,,,
NHLEMFDDS220A,NHLEMFDDS220A,D8:9E:F3:4B:EF:BD,,,,,,
NHLEMFFM115D,NHLEMFFM115D,3C:52:82:00:7C:D5,,,,,,
NHLEMFFM427,NHLEMFFM427,D8:9E:F3:4B:F0:C2,,,,,,
NHLEMFRAD407BB,NHLEMFRAD407BB,3C:52:82:00:7C:64,,,,,,
NHLEMFPHR223AA,NHLEMFPHR223AA,3C:52:82:00:65:C7,,,,,,
NHLEMFIS2376,NHLEMFIS2376,B8:CA:3A:B4:E4:42,,,,,,
NHLEMBDC411B,NHLEMBDC411B,30:E1:71:80:B6:54,,,,,,
NHLEMMM1115E,NHLEMMM1115E,4C:CC:6A:78:E2:D6,,,,,,
NHLEMVET02C,NHLEMVET02C,DC:4A:3E:55:94:D8,,,,,,
NHLEMFOD1250C,NHLEMFOD1250C,4C:CC:6A:78:EA:50,,,,,,
NHLEMNMAU26704B,NHLEMNMAU26704B,DC:4A:3E:55:98:29,,,,,,
NHLEMNMAU26705A,NHLEMNMAU26705A,DC:4A:3E:55:59:43,,,,,,
NHLEMPAD2448A,NHLEMPAD2448A,DC:4A:3E:55:93:93,,,,,,
NHLEMVET03,NHLEMVET03,40:B0:34:F6:5D:29,,,,,,
NHLEMBDC420,NHLEMBDC420,DC:4A:3E:55:94:19,,,,,,
NHLEM-XAVRAD02,NHLEM-XAVRAD02,C8:D3:FF:A8:89:92,,,,,,
NHLEMHHCFLT139C,NHLEMHHCFLT139C,40:B0:34:F6:4D:CC,,,,,,
NHLEM-XAVOCC03,NHLEM-XAVOCC03,B8:CA:3A:B4:B1:F6,,,,,,
NHLEM-XAVEX03,NHLEM-XAVEX03,DC:4A:3E:55:59:5E,,,,,,
NHLEMMM1115A,NHLEMMM1115A,30:E1:71:7F:8F:C0,,,,,,
NHLEMUCC1329,NHLEMUCC1329,4C:CC:6A:78:EA:5C,,,,,,
NHLEMNMAU26705C,NHLEMNMAU26705C,DC:4A:3E:55:97:CE,,,,,,
NHLEMADM2328A,NHLEMADM2328A,3C:52:82:00:7C:6C,,,,,,
NHLEMIH09,NHLEMIH09,DC:4A:3E:55:94:0A,,,,,,
NHLEM724LAB116,NHLEM724LAB116,30:E1:71:80:A1:B2,,,,,,
NHLEMADM2332,NHLEMADM2332,3C:52:82:00:7D:FE,,,,,,
NHLEMPAD1470H,NHLEMPAD1470H,DC:4A:3E:55:59:5C,,,,,,
NHLEMNMAU26704A,NHLEMNMAU26704A,DC:4A:3E:55:59:E4,,,,,,
NHLEM-XDDS09,NHLEM-XDDS09,C8:D3:FF:A7:6D:CD,,,,,,
NHLEMDDS114,NHLEMDDS114,DC:4A:3E:55:99:CF,,,,,,
NHLEM-XDDS39,NHLEM-XDDS39,30:E1:71:80:62:55,,,,,,
NHLEMDDS113,NHLEMDDS113,DC:4A:3E:55:97:50,,,,,,
NHLEMHR2326,NHLEMHR2326,DC:4A:3E:55:54:CA,,,,,,
NHLEMIT2368A,NHLEMIT2368A,C8:D3:FF:A7:72:32,,,,,,
NHLEM-XAVDDS05,NHLEM-XAVDDS05,34:F3:9A:71:44:90,,,,,,
NHLEMPAD1486B,NHLEMPAD1486B,DC:4A:3E:55:53:5A,,,,,,
NHLEMDDS131A,NHLEMDDS131A,34:F3:9A:71:07:69,,,,,,
NHLEMPM1216C,NHLEMPM1216C,C8:D3:FF:A8:5A:22,,,,,,
NHLEMOB1453A,NHLEMOB1453A,30:E1:71:80:B8:D4,,,,,,
NHLEMIH08E,NHLEMIH08E,C8:D3:FF:A8:5A:C9,,,,,,
NHLEMOR2140A,NHLEMOR2140A,4C:CC:6A:78:E9:A5,,,,,,
NHLEMFIS2430B,NHLEMFIS2430B,30:E1:71:80:3A:7E,,,,,,
NHLEMIH08D,NHLEMIH08D,DC:4A:3E:55:94:59,,,,,,
